field,width
pcn,17
recordCode,2
taxDistCode,5
propUseCode,4
filler,3
currSOHVal,12
acres,12
SOHBaseYear,4
agriLandVal,12
assessedVal,12
marketVal,12
newConstrVal,12
demolitionVal,12
landVal,12
buildingVal,12
taxableVal,12
exemptionVal,12
prev_agriLandVal,12
prev_assessedVal,12
prev_marketVal,12
prev_newConstrVal,12
prev_demolitionVal,12
prev_landVal,12
prev_buildingVal,12
prev_taxableVal,12
prev_exemptionVal,12
petitionNo,10
exemptionCaseNo,10
